,job_title,salary_usd,experience_level,employment_type,company_location,company_size,required_skills,education_required,years_experience,industry,company_name,post_date,year,remote_category
15,AI Product Manager,78846,EN,PT,United Kingdom,L,"Linux, Statistics, Deep Learning",PhD,0,Consulting,DataVision Ltd,2024-09-28,2024,On-Site
16,Principal Data Scientist,59823,EN,FT,India,L,"Tableau, NLP, Spark",Bachelor,1,Real Estate,Predictive Systems,2025-02-06,2025,Remote
17,Machine Learning Engineer,181139,EX,CT,France,L,"MLOps, PyTorch, Azure",Associate,15,Real Estate,AI Innovations,2024-04-24,2024,Remote
18,Data Engineer,155300,SE,CT,Singapore,M,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,Algorithmic Solutions,2024-04-30,2024,On-Site
19,Research Scientist,93851,MI,PT,Netherlands,L,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,AI Innovations,2024-05-01,2024,Remote
20,Data Engineer,134197,MI,FT,Norway,M,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,AI Innovations,2024-06-21,2024,On-Site
21,Autonomous Systems Engineer,102550,MI,PT,United States,M,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,Cognitive Computing,2024-04-23,2024,On-Site
22,ML Ops Engineer,99382,SE,CT,Germany,S,"Hadoop, Git, Tableau",PhD,7,Automotive,Quantum Computing Inc,2025-03-13,2025,On-Site
23,AI Product Manager,52167,MI,FT,Austria,M,"Git, Hadoop, Docker",Master,4,Telecommunications,Cloud AI Solutions,2024-06-07,2024,Remote
24,ML Ops Engineer,53923,MI,FT,China,S,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,AI Innovations,2024-10-27,2024,On-Site
25,Robotics Engineer,109779,SE,PT,Israel,L,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,DataVision Ltd,2024-08-01,2024,Remote
26,ML Ops Engineer,80979,MI,CT,Australia,S,"Hadoop, Linux, Git, Scala",Master,2,Media,TechCorp Inc,2024-11-18,2024,Hybrid
27,Data Analyst,52997,MI,PT,Austria,M,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,Predictive Systems,2025-01-10,2025,On-Site
28,Head of AI,42819,EN,CT,Ireland,M,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,Cognitive Computing,2024-10-08,2024,Hybrid
29,ML Ops Engineer,82083,MI,CT,Israel,L,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,Future Systems,2024-01-18,2024,Remote
30,Head of AI,67488,EN,FT,Netherlands,M,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,Advanced Robotics,2024-05-16,2024,Remote
31,Research Scientist,68624,EN,FT,Denmark,M,"Azure, Python, Spark",Master,1,Real Estate,Cloud AI Solutions,2024-01-31,2024,On-Site
32,Robotics Engineer,146852,SE,FT,Switzerland,S,"NLP, Scala, Python",PhD,7,Real Estate,Cognitive Computing,2024-08-28,2024,Hybrid
33,ML Ops Engineer,178183,EX,FL,Finland,M,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,Predictive Systems,2024-03-01,2024,On-Site
34,Deep Learning Engineer,150864,SE,FL,Sweden,L,"R, GCP, MLOps, Linux",PhD,8,Consulting,Smart Analytics,2024-10-26,2024,On-Site
35,Head of AI,126942,EX,CT,Finland,L,"Git, Hadoop, Data Visualization",Associate,10,Finance,Autonomous Tech,2024-01-31,2024,On-Site
36,AI Architect,53752,MI,PT,Japan,M,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,TechCorp Inc,2024-10-17,2024,Remote
37,Robotics Engineer,111381,EX,CT,Israel,S,"Linux, PyTorch, SQL, Statistics",Master,18,Government,Autonomous Tech,2024-01-14,2024,On-Site
38,AI Specialist,41430,EN,PT,China,M,"Tableau, Docker, GCP",Bachelor,1,Healthcare,Future Systems,2024-06-15,2024,Hybrid
39,Data Engineer,166080,EX,FL,Netherlands,L,"Computer Vision, Azure, Tableau",Associate,15,Government,DeepTech Ventures,2024-03-01,2024,Remote
40,Data Scientist,96956,MI,FT,United States,M,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,DataVision Ltd,2024-02-24,2024,On-Site
41,AI Architect,196954,SE,FL,United States,L,"Java, Mathematics, SQL",Bachelor,8,Finance,DataVision Ltd,2025-03-17,2025,Hybrid
42,AI Specialist,56745,EN,PT,Finland,L,"Spark, Mathematics, GCP",Associate,1,Telecommunications,Quantum Computing Inc,2025-02-01,2025,Remote
43,Machine Learning Researcher,113455,SE,FT,Singapore,M,"Hadoop, Docker, Python, Azure",Associate,8,Retail,AI Innovations,2024-04-24,2024,Hybrid
44,ML Ops Engineer,158808,SE,PT,Netherlands,M,"Docker, R, Linux",Bachelor,5,Media,Future Systems,2025-03-03,2025,Hybrid
45,AI Research Scientist,174663,SE,CT,United States,M,"Data Visualization, Statistics, R",Associate,7,Media,DeepTech Ventures,2024-01-10,2024,Hybrid
46,AI Research Scientist,46753,EN,CT,India,S,"Scala, Java, Tableau",PhD,1,Manufacturing,Quantum Computing Inc,2024-11-16,2024,Hybrid
47,AI Software Engineer,69020,MI,FL,China,L,"Java, Azure, GCP",Bachelor,4,Energy,TechCorp Inc,2024-09-05,2024,On-Site
48,AI Specialist,288815,EX,PT,Switzerland,S,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,Cognitive Computing,2024-08-08,2024,On-Site
49,AI Consultant,124871,EX,FL,Austria,M,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,Autonomous Tech,2025-03-10,2025,Hybrid
50,AI Architect,70391,MI,FT,Germany,S,"Deep Learning, SQL, Mathematics",PhD,4,Government,TechCorp Inc,2024-08-16,2024,On-Site
51,Research Scientist,115376,EX,FT,India,M,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,Autonomous Tech,2024-03-12,2024,Remote
52,Research Scientist,106579,MI,PT,United States,S,"Docker, Tableau, Mathematics",Associate,3,Gaming,Cognitive Computing,2024-02-24,2024,Remote
53,Data Scientist,135230,SE,PT,Norway,S,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,DataVision Ltd,2024-07-07,2024,Remote
54,Research Scientist,67607,MI,PT,Israel,S,"Python, Tableau, TensorFlow, AWS",Master,4,Media,Quantum Computing Inc,2024-08-05,2024,Hybrid
55,AI Architect,88470,MI,PT,Canada,L,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,Autonomous Tech,2024-07-29,2024,On-Site
56,Autonomous Systems Engineer,79863,MI,FL,India,L,"Python, Docker, GCP, Scala",Associate,4,Automotive,Autonomous Tech,2024-09-28,2024,Remote
57,Machine Learning Engineer,60299,EN,PT,Israel,L,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,Advanced Robotics,2025-03-22,2025,Remote
58,Machine Learning Engineer,85645,MI,FT,Germany,M,"PyTorch, Computer Vision, R",Associate,4,Transportation,AI Innovations,2024-02-09,2024,On-Site
59,AI Software Engineer,110222,SE,FL,United Kingdom,S,"R, Spark, AWS",Associate,8,Media,TechCorp Inc,2024-03-20,2024,On-Site
60,Data Scientist,49365,EN,FT,China,M,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,Predictive Systems,2024-06-22,2024,On-Site
61,Data Scientist,162296,SE,PT,Norway,S,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,Neural Networks Co,2024-06-05,2024,Hybrid
62,AI Consultant,102382,MI,PT,Switzerland,M,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,Smart Analytics,2024-03-23,2024,On-Site
63,AI Software Engineer,99972,MI,PT,Australia,M,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,Cloud AI Solutions,2024-02-20,2024,Hybrid
64,Data Engineer,64129,EN,CT,South Korea,L,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,Machine Intelligence Group,2024-12-15,2024,On-Site
65,AI Specialist,87938,SE,FT,Ireland,S,"Mathematics, Spark, Python, AWS",PhD,8,Education,Machine Intelligence Group,2024-12-15,2024,Remote
66,Autonomous Systems Engineer,71405,MI,FL,Israel,L,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,Advanced Robotics,2024-09-01,2024,On-Site
67,Machine Learning Engineer,316182,EX,PT,Denmark,M,"Python, Scala, Statistics, Git",Associate,12,Finance,Digital Transformation LLC,2025-02-09,2025,On-Site
68,Machine Learning Researcher,72459,EN,PT,Germany,M,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,Quantum Computing Inc,2024-08-30,2024,Remote
69,Principal Data Scientist,78338,MI,FT,France,L,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,Cognitive Computing,2024-10-31,2024,Remote
70,NLP Engineer,51907,MI,FL,Israel,M,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,Neural Networks Co,2024-02-14,2024,Remote
71,Autonomous Systems Engineer,122831,SE,FL,France,S,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,Algorithmic Solutions,2024-05-31,2024,Remote
72,Machine Learning Researcher,124820,MI,FL,Norway,S,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,Cognitive Computing,2024-08-02,2024,Hybrid
73,Autonomous Systems Engineer,134200,SE,PT,United Kingdom,S,"Linux, R, Tableau",PhD,9,Retail,Machine Intelligence Group,2024-11-29,2024,Hybrid
74,Data Engineer,51920,EN,PT,Sweden,S,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,Digital Transformation LLC,2025-04-08,2025,Remote
75,Data Engineer,56427,EN,FL,Singapore,M,"Mathematics, Kubernetes, Spark",Master,0,Energy,DeepTech Ventures,2024-11-16,2024,Remote
76,AI Product Manager,213783,EX,FT,Canada,S,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,Quantum Computing Inc,2024-09-19,2024,Remote
77,ML Ops Engineer,59728,MI,FL,Israel,M,"MLOps, SQL, Statistics",Associate,2,Finance,DataVision Ltd,2024-06-10,2024,Hybrid
78,Computer Vision Engineer,119432,SE,CT,India,L,"Scala, MLOps, NLP",PhD,6,Technology,Autonomous Tech,2024-04-20,2024,On-Site
79,AI Research Scientist,284486,EX,CT,United States,M,"PyTorch, Linux, SQL",Master,12,Consulting,TechCorp Inc,2025-02-13,2025,On-Site
80,Data Analyst,157597,EX,CT,France,L,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,Neural Networks Co,2024-08-31,2024,Hybrid
81,ML Ops Engineer,196942,EX,CT,Australia,L,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,TechCorp Inc,2024-04-01,2024,Remote
82,Machine Learning Researcher,207548,EX,CT,Canada,M,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,Cognitive Computing,2024-02-05,2024,On-Site
83,NLP Engineer,68838,MI,FL,Sweden,S,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,TechCorp Inc,2024-06-20,2024,Hybrid
84,ML Ops Engineer,125666,EX,FL,Finland,L,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,TechCorp Inc,2024-06-19,2024,Remote
85,NLP Engineer,73174,EN,FT,Denmark,M,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,Machine Intelligence Group,2024-07-14,2024,Hybrid
86,Autonomous Systems Engineer,33314,EN,CT,Israel,S,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,Future Systems,2025-04-16,2025,Hybrid
87,AI Specialist,69914,EN,FT,United States,S,"R, NLP, SQL, GCP",Associate,0,Transportation,Smart Analytics,2025-02-15,2025,Remote
88,Principal Data Scientist,152118,EX,FL,France,M,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,AI Innovations,2024-05-20,2024,Hybrid
89,AI Software Engineer,78014,EN,CT,France,L,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,Digital Transformation LLC,2024-11-19,2024,Hybrid
90,Research Scientist,48466,EN,PT,Canada,S,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,Predictive Systems,2025-03-10,2025,Remote
91,Data Analyst,97997,SE,CT,France,S,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,Algorithmic Solutions,2024-06-19,2024,Hybrid
92,Principal Data Scientist,128341,SE,FL,Singapore,S,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,Neural Networks Co,2025-04-26,2025,On-Site
93,AI Research Scientist,111528,MI,FL,United States,L,"Java, Hadoop, Mathematics",PhD,3,Real Estate,Predictive Systems,2024-03-01,2024,On-Site
94,Machine Learning Researcher,138945,EX,PT,Canada,S,"Linux, R, NLP, PyTorch, Git",Master,19,Education,DeepTech Ventures,2024-07-10,2024,Hybrid
95,NLP Engineer,98688,SE,FT,Israel,M,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,Cognitive Computing,2024-04-10,2024,Hybrid
96,Data Analyst,109029,SE,FT,France,S,"Kubernetes, Scala, Java",Bachelor,6,Technology,Predictive Systems,2025-04-05,2025,On-Site
97,NLP Engineer,84797,MI,FT,Canada,M,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,Machine Intelligence Group,2024-12-04,2024,On-Site
98,Machine Learning Researcher,290199,EX,CT,Switzerland,L,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,Smart Analytics,2025-01-12,2025,Hybrid
99,AI Research Scientist,195691,SE,CT,United States,L,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,Advanced Robotics,2024-04-20,2024,On-Site
100,AI Product Manager,193448,SE,FT,Norway,L,"Scala, Git, Java",Associate,9,Consulting,Cognitive Computing,2025-01-02,2025,Remote
101,AI Product Manager,138466,EX,PT,Israel,L,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,Smart Analytics,2024-01-25,2024,Remote
102,Data Analyst,91577,MI,CT,Netherlands,M,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,Algorithmic Solutions,2024-01-27,2024,Remote
103,Computer Vision Engineer,92875,MI,FT,Sweden,S,"SQL, Python, Deep Learning",PhD,3,Real Estate,Digital Transformation LLC,2024-07-21,2024,On-Site
104,Data Engineer,213287,EX,FT,United Kingdom,S,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,Cloud AI Solutions,2025-03-03,2025,Remote
105,NLP Engineer,62171,MI,FT,Japan,S,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,AI Innovations,2024-09-15,2024,On-Site
106,AI Research Scientist,152658,EX,FL,South Korea,L,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,TechCorp Inc,2024-01-28,2024,Hybrid
107,ML Ops Engineer,95085,MI,FT,Norway,M,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,Predictive Systems,2024-03-20,2024,Remote
108,Deep Learning Engineer,86750,MI,FL,France,S,"Java, R, Git, Mathematics, Spark",PhD,2,Government,AI Innovations,2024-12-13,2024,Remote
109,AI Specialist,64261,MI,PT,Israel,M,"PyTorch, Docker, GCP",Master,2,Transportation,TechCorp Inc,2024-09-04,2024,On-Site
110,Machine Learning Researcher,205357,EX,PT,United States,S,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,Predictive Systems,2024-03-08,2024,Remote
111,AI Architect,165676,EX,CT,France,S,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,Neural Networks Co,2024-05-13,2024,Hybrid
112,Computer Vision Engineer,114658,SE,CT,France,M,"SQL, Scala, Python",Bachelor,9,Telecommunications,Algorithmic Solutions,2024-03-18,2024,Remote
113,Data Scientist,143149,SE,FL,France,L,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,Digital Transformation LLC,2024-03-13,2024,Hybrid
114,Machine Learning Researcher,116276,SE,FL,Germany,S,"Azure, R, Linux, MLOps",Bachelor,7,Technology,Future Systems,2024-08-14,2024,Hybrid
115,NLP Engineer,61055,EN,FL,United States,M,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,Autonomous Tech,2024-06-04,2024,Remote
116,ML Ops Engineer,50303,EN,FT,Austria,L,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,DataVision Ltd,2024-08-11,2024,Remote
117,Data Analyst,65570,SE,FL,Ireland,S,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,Smart Analytics,2024-10-22,2024,Hybrid
118,AI Software Engineer,231078,EX,FL,Singapore,M,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,Neural Networks Co,2024-04-15,2024,Hybrid
119,AI Product Manager,106633,SE,FT,Australia,M,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,Algorithmic Solutions,2024-05-18,2024,Remote
120,AI Specialist,121180,SE,FL,Austria,L,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,Media,Quantum Computing Inc,2025-01-06,2025,On-Site
121,Principal Data Scientist,64531,EN,PT,China,L,"Git, SQL, Scala, Python, Computer Vision",PhD,0,Retail,Smart Analytics,2025-03-26,2025,Hybrid
122,Machine Learning Engineer,125654,MI,CT,Singapore,L,"Python, Tableau, Java",PhD,4,Automotive,DataVision Ltd,2024-06-20,2024,Hybrid
123,Machine Learning Researcher,182275,EX,FT,Austria,L,"Docker, AWS, Linux, Git, Azure",PhD,14,Technology,DeepTech Ventures,2025-04-19,2025,On-Site
124,Machine Learning Researcher,117708,MI,FL,Denmark,L,"PyTorch, Scala, Linux, Tableau, Deep Learning",PhD,4,Transportation,Neural Networks Co,2024-02-24,2024,On-Site
125,Data Engineer,143246,EX,FT,South Korea,S,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,Healthcare,Future Systems,2024-12-25,2024,On-Site
126,AI Product Manager,203198,SE,FT,Denmark,L,"Statistics, R, Python, TensorFlow",Master,5,Consulting,DeepTech Ventures,2024-12-04,2024,Hybrid
127,Research Scientist,69487,EN,CT,Switzerland,S,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,Transportation,Machine Intelligence Group,2024-11-04,2024,On-Site
128,AI Product Manager,95673,EX,FL,Ireland,S,"GCP, R, Azure, Deep Learning, PyTorch",Associate,17,Technology,Neural Networks Co,2024-08-24,2024,On-Site
129,AI Software Engineer,59405,EN,FL,Austria,L,"Spark, Python, Deep Learning, Linux, Java",Bachelor,1,Consulting,Smart Analytics,2025-03-18,2025,Remote
130,AI Specialist,131756,SE,PT,Netherlands,M,"AWS, R, Spark",PhD,5,Technology,AI Innovations,2024-08-03,2024,On-Site
131,AI Software Engineer,42835,EN,PT,South Korea,L,"Python, TensorFlow, PyTorch",Bachelor,0,Media,Machine Intelligence Group,2025-03-02,2025,On-Site
132,Autonomous Systems Engineer,61893,EN,FT,Canada,M,"Statistics, Python, SQL",Associate,1,Consulting,Predictive Systems,2024-03-28,2024,Hybrid
133,ML Ops Engineer,141791,EX,CT,France,M,"Hadoop, Azure, Python, R",PhD,13,Media,Algorithmic Solutions,2025-02-03,2025,On-Site
134,AI Product Manager,258637,EX,PT,United Kingdom,M,"Computer Vision, GCP, Azure, SQL, Python",Master,11,Education,Cognitive Computing,2025-01-16,2025,Hybrid
135,NLP Engineer,49485,MI,FT,Finland,S,"Hadoop, Java, Data Visualization",Associate,2,Technology,Cloud AI Solutions,2024-08-09,2024,On-Site
136,Robotics Engineer,172916,SE,PT,Norway,S,"Computer Vision, SQL, PyTorch, Java",Bachelor,8,Manufacturing,Smart Analytics,2024-12-29,2024,Remote
137,Machine Learning Engineer,324557,EX,FT,Denmark,L,"Hadoop, Python, Git, TensorFlow",PhD,11,Telecommunications,Machine Intelligence Group,2024-11-06,2024,Remote
138,AI Consultant,73894,MI,CT,France,M,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",Bachelor,4,Consulting,Digital Transformation LLC,2024-08-08,2024,Hybrid
139,Principal Data Scientist,122598,SE,FT,Sweden,S,"Linux, AWS, Computer Vision, Deep Learning",Associate,9,Media,Digital Transformation LLC,2025-01-05,2025,Hybrid
140,Data Scientist,94478,MI,FL,Denmark,S,"PyTorch, TensorFlow, Hadoop, Python",PhD,4,Retail,Algorithmic Solutions,2024-05-24,2024,Remote
141,Autonomous Systems Engineer,53088,EN,PT,Austria,M,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",PhD,1,Finance,Machine Intelligence Group,2025-04-12,2025,Hybrid
142,Machine Learning Researcher,116012,MI,FT,Denmark,M,"SQL, MLOps, Python",Master,3,Automotive,Predictive Systems,2024-09-23,2024,On-Site
143,Deep Learning Engineer,35593,EN,CT,China,S,"Python, Hadoop, Deep Learning",Bachelor,0,Media,AI Innovations,2024-03-09,2024,On-Site
144,AI Product Manager,149053,EX,FT,Austria,S,"GCP, Linux, R, Hadoop",Master,17,Media,Smart Analytics,2024-11-17,2024,On-Site
145,Principal Data Scientist,88230,MI,FT,Austria,L,"TensorFlow, Git, Azure, Python",Associate,4,Education,DeepTech Ventures,2024-05-22,2024,On-Site
146,AI Research Scientist,224919,EX,FL,Australia,M,"Kubernetes, Deep Learning, PyTorch",Associate,19,Education,TechCorp Inc,2024-12-02,2024,Remote
147,Machine Learning Researcher,220439,EX,PT,Netherlands,S,"SQL, Data Visualization, GCP, Deep Learning, MLOps",Associate,12,Manufacturing,TechCorp Inc,2024-03-30,2024,Remote
148,NLP Engineer,48861,EN,PT,Finland,S,"GCP, Python, Computer Vision, Git",Bachelor,0,Healthcare,DeepTech Ventures,2024-07-04,2024,Remote
149,AI Specialist,115841,SE,FL,United States,S,"TensorFlow, Kubernetes, Deep Learning",PhD,7,Healthcare,Quantum Computing Inc,2024-10-25,2024,On-Site
150,NLP Engineer,57266,MI,FL,Ireland,M,"Computer Vision, PyTorch, Linux, TensorFlow",Bachelor,3,Media,Neural Networks Co,2024-08-11,2024,On-Site
151,Deep Learning Engineer,66384,MI,CT,Australia,S,"Git, Tableau, Hadoop, Computer Vision",Associate,2,Government,Autonomous Tech,2024-04-21,2024,On-Site
152,Data Analyst,184637,EX,PT,Sweden,S,"R, SQL, Data Visualization",Bachelor,11,Government,Machine Intelligence Group,2024-05-23,2024,Remote
153,AI Research Scientist,92445,MI,CT,Netherlands,M,"Linux, Python, Scala, Docker",Bachelor,4,Technology,DataVision Ltd,2024-10-22,2024,Hybrid
154,Machine Learning Researcher,57388,EN,FL,Canada,L,"Python, GCP, TensorFlow",Associate,1,Consulting,Smart Analytics,2024-01-12,2024,On-Site
155,Head of AI,53374,MI,PT,China,M,"Docker, Deep Learning, R",PhD,2,Government,Algorithmic Solutions,2024-06-22,2024,On-Site
156,AI Research Scientist,95716,SE,CT,Finland,S,"Git, Spark, Azure, Statistics",PhD,6,Media,Digital Transformation LLC,2024-03-19,2024,Hybrid
157,NLP Engineer,157091,MI,FL,Norway,L,"Python, Java, Kubernetes, SQL, NLP",PhD,2,Transportation,DataVision Ltd,2025-03-04,2025,On-Site
158,ML Ops Engineer,204144,SE,FL,Norway,L,"Hadoop, Mathematics, Linux",PhD,8,Telecommunications,Autonomous Tech,2024-12-12,2024,Remote
159,AI Software Engineer,190314,EX,CT,Netherlands,M,"GCP, Computer Vision, Scala, AWS, Linux",PhD,12,Government,Digital Transformation LLC,2024-05-23,2024,Remote
160,Principal Data Scientist,198403,EX,FL,Denmark,M,"Data Visualization, SQL, Scala",Associate,15,Media,Digital Transformation LLC,2024-03-14,2024,Hybrid
161,Research Scientist,153040,SE,CT,Canada,L,"SQL, Tableau, Statistics, GCP",Bachelor,7,Manufacturing,Autonomous Tech,2024-06-25,2024,Hybrid
162,AI Software Engineer,51898,MI,FL,Israel,S,"Deep Learning, Python, NLP",Associate,2,Consulting,Machine Intelligence Group,2024-10-05,2024,On-Site
163,AI Architect,115191,SE,FL,Germany,S,"R, AWS, Git, Tableau",Associate,7,Education,Advanced Robotics,2024-07-10,2024,On-Site
164,ML Ops Engineer,170139,SE,PT,United States,L,"Python, Spark, Hadoop",Bachelor,5,Technology,Future Systems,2025-01-30,2025,Hybrid
165,ML Ops Engineer,63860,EN,CT,Canada,L,"Linux, TensorFlow, GCP, Docker, Azure",Master,0,Gaming,Autonomous Tech,2024-08-02,2024,Remote
166,NLP Engineer,125152,MI,CT,Norway,M,"TensorFlow, Docker, AWS, Spark",PhD,3,Retail,Smart Analytics,2024-08-11,2024,Remote
167,AI Software Engineer,61572,EN,CT,South Korea,L,"Linux, Azure, Kubernetes",Bachelor,0,Healthcare,DataVision Ltd,2024-07-19,2024,Hybrid
168,Head of AI,101054,MI,CT,Germany,M,"Statistics, Tableau, Java, Data Visualization, NLP",Master,3,Transportation,Autonomous Tech,2024-01-06,2024,Hybrid
169,Data Engineer,145355,EX,CT,Canada,S,"Spark, Linux, AWS, Deep Learning",Master,13,Media,DeepTech Ventures,2024-08-25,2024,Remote
170,Deep Learning Engineer,183484,EX,FT,Singapore,S,"Scala, Data Visualization, TensorFlow, Mathematics, Java",Master,19,Gaming,Autonomous Tech,2024-11-20,2024,Remote
171,AI Product Manager,111997,MI,CT,Singapore,L,"PyTorch, Scala, Hadoop, Docker, Computer Vision",PhD,2,Technology,Neural Networks Co,2025-03-15,2025,Remote
